startTime, stopTime, KP name, comment
2023-09-09 18:00:00,2023-09-09 22:00:00,LT05 Fast Radio Bursts,Cleanup planning J-6
2023-09-09 22:00:00,2023-09-09 23:00:00,LT02 Exoplanets and stars,Cleanup planning J-6
2023-09-09 23:00:00,2023-09-09 23:16:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-09 23:16:00,2023-09-09 23:44:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-09 23:44:00,2023-09-10 00:12:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-10 00:12:00,2023-09-10 00:40:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-10 00:40:00,2023-09-10 01:08:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-10 01:08:00,2023-09-10 01:36:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-10 01:36:00,2023-09-10 02:04:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-10 02:04:00,2023-09-10 02:32:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-10 02:32:00,2023-09-10 03:00:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-10 03:00:00,2023-09-10 04:00:00,LT02 Exoplanets and stars,Cleanup planning J-6
2023-09-10 04:00:00,2023-09-10 05:00:00,LT02 Exoplanets and stars,Cleanup planning J-6
2023-09-10 05:00:00,2023-09-10 06:00:00,LT05 Fast Radio Bursts,Cleanup planning J-6
2023-09-10 06:00:00,2023-09-10 10:00:00,LT05 Fast Radio Bursts,Cleanup planning J-6
2023-09-10 10:00:00,2023-09-10 17:00:00,LT02 Exoplanets and stars,Cleanup planning J-6
2023-09-10 17:00:00,2023-09-10 21:00:00,LT05 Fast Radio Bursts,Cleanup planning J-6
2023-09-10 21:00:00,2023-09-10 22:00:00,LT02 Exoplanets and stars,Cleanup planning J-6
2023-09-10 22:00:00,2023-09-10 23:00:00,LT03 Pulsars,Cleanup planning J-6
2023-09-10 23:00:00,2023-09-11 00:00:00,LT03 Pulsars,Cleanup planning J-6
2023-09-11 00:00:00,2023-09-11 01:00:00,LT03 Pulsars,Cleanup planning J-6
2023-09-11 06:00:00,2023-09-11 10:00:00,LT05 Fast Radio Bursts,NenuFAR booking
2023-09-11 10:00:00,2023-09-11 11:00:00,LT03 Pulsars,NenuFAR booking
2023-09-11 16:00:00,2023-09-11 19:00:00,LT12 Radio Gamma,NenuFAR booking
2023-09-11 19:00:00,2023-09-12 02:00:00,RP1C Free-free absorption in Cassiopeia A,NenuFAR booking
2023-09-12 19:00:00,2023-09-13 04:00:00,LT01 Cosmic Dawn,NenuFAR booking
2023-09-13 05:00:00,2023-09-13 08:00:00,LT12 Radio Gamma,NenuFAR booking
2023-09-13 10:00:00,2023-09-13 11:00:00,LT03 Pulsars,NenuFAR booking
2023-09-13 21:00:00,2023-09-13 22:00:00,RP2A M31,NenuFAR booking
2023-09-13 23:00:00,2023-09-14 03:00:00,RP1B NenuFAR Low-Frequency Sky Survey,NenuFAR booking
2023-09-15 00:00:00,2023-09-15 02:00:00,LT03 Pulsars,NenuFAR booking
