startTime, stopTime, KP name, comment
2023-11-01 15:00:00,2023-11-01 19:00:00,LT02 Exoplanets and stars,KP booking
2023-11-01 19:00:00,2023-11-01 19:12:00,LT02 Exoplanets and stars,Cleanup planning J-6
2023-11-01 19:12:00,2023-11-01 23:00:00,LT02 Exoplanets and stars,Cleanup planning J-6
2023-11-01 23:00:00,2023-11-02 00:00:00,LT03 Pulsars,Cleanup planning J-6
2023-11-02 00:00:00,2023-11-02 02:00:00,LT03 Pulsars,Cleanup planning J-6
2023-11-02 02:00:00,2023-11-02 04:00:00,LT03 Pulsars,Cleanup planning J-6
2023-11-02 04:00:00,2023-11-02 06:00:00,LT02 Exoplanets and stars,KP booking
2023-11-02 06:00:00,2023-11-02 07:00:00,LT03 Pulsars,Cleanup planning J-6
2023-11-02 07:00:00,2023-11-02 08:00:00,LT03 Pulsars,Cleanup planning J-6
2023-11-02 08:00:00,2023-11-02 10:00:00,LT02 Exoplanets and stars,KP booking
2023-11-02 10:00:00,2023-11-02 11:00:00,LT03 Pulsars,Cleanup planning J-6
2023-11-02 11:00:00,2023-11-02 12:00:00,LT03 Pulsars,Cleanup planning J-6
2023-11-02 12:00:00,2023-11-02 14:00:00,LT03 Pulsars,Cleanup planning J-6
2023-11-02 14:00:00,2023-11-02 15:00:00,ES00 Debug,Test nouveau service Backend
2023-11-02 15:00:00,2023-11-02 18:00:00,LT02 Exoplanets and stars,KP booking
2023-11-02 18:00:00,2023-11-02 19:00:00,LT03 Pulsars,Cleanup planning J-6
2023-11-02 19:00:00,2023-11-02 20:00:00,LT02 Exoplanets and stars,KP booking
2023-11-02 20:00:00,2023-11-02 21:00:00,LT03 Pulsars,Cleanup planning J-6
2023-11-02 21:00:00,2023-11-02 22:00:00,LT03 Pulsars,Cleanup planning J-6
2023-11-02 22:00:00,2023-11-02 23:00:00,LT03 Pulsars,Cleanup planning J-6
2023-11-02 23:00:00,2023-11-02 23:16:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-11-02 23:16:00,2023-11-02 23:44:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-11-02 23:44:00,2023-11-03 00:12:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-11-03 00:12:00,2023-11-03 00:40:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-11-03 00:40:00,2023-11-03 01:08:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-11-03 01:08:00,2023-11-03 01:36:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-11-03 01:36:00,2023-11-03 02:04:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-11-03 02:04:00,2023-11-03 02:32:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-11-03 02:32:00,2023-11-03 03:00:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-11-03 03:15:00,2023-11-03 05:00:00,LT02 Exoplanets and stars,KP booking
2023-11-03 05:00:00,2023-11-03 09:00:00,LT05 Fast Radio Bursts,Cleanup planning J-6
2023-11-03 09:00:00,2023-11-03 10:00:00,LT05 Fast Radio Bursts,Cleanup planning J-6
2023-11-03 10:00:00,2023-11-03 11:00:00,LT02 Exoplanets and stars,KP booking
